"u1","CondProb_U2_0%","CondProb_U2_10%","CondProb_U2_20%","CondProb_U2_30%","CondProb_U2_40%","CondProb_U2_50%","CondProb_U2_60%","CondProb_U2_70%","CondProb_U2_80%","CondProb_U2_90%","CondProb_U2_100%"
0,0.00021128272046803,0.00237942929400614,0.00411777242181969,0.00526082987960074,0.00603364749275046,0.00673515362456042,0.00738462600312372,0.00812950270269079,0.00871151300668013,0.00930541248281486,0.00999839304346515
0.0101010101010101,0.000325640875388555,0.00425435015287313,0.00766605337319034,0.00998175014298193,0.0115733170774067,0.0130340016591284,0.0143987590422163,0.0159775973756548,0.0172206888527506,0.0184972369446157,0.0199965115335536
0.0202020202020202,0.000416807972709856,0.00595487839692374,0.0109995068702952,0.0144907769353881,0.0169147456205918,0.0191545750961655,0.0212592027888543,0.0237070936793504,0.0256436098449802,0.0276401072512631,0.0299945102749714
0.0303030303030303,0.000495186594492278,0.00754667444090195,0.0141944453743191,0.0188610061625823,0.0221251377344825,0.0251564359041553,0.02801666174685,0.0313565908468665,0.0340080675694564,0.0367496423355073,0.039992427057047
0.0404040404040404,0.000565078250221084,0.00905999785947633,0.0172870538897405,0.0231275567443562,0.0272370239157829,0.0310685899325428,0.0346959543416444,0.0389450833501121,0.0423277910348452,0.0458335864991098,0.0499902806925836
0.0505050505050505,0.000628780272781049,0.0105122733871165,0.0202985934400619,0.0273112573022637,0.0322698006230382,0.036908406859543,0.0413119968850069,0.0464840309604527,0.0506110862030627,0.0548966374308582,0.0599880826265375
0.0606060606060606,0.000687697801937733,0.0119148036524179,0.02324307610564,0.0314259369943206,0.0372364006070953,0.0426875078002489,0.0478747979743522,0.0539811464116584,0.0588635555286306,0.0639419704596419,0.0699858406128177
0.0707070707070707,0.000742767277592127,0.0132754956178625,0.0261304348888109,0.0354814599266072,0.0421460811688199,0.0484142350369826,0.054391559736101,0.0614419938838009,0.0670892482346473,0.0729718846408974,0.0799835602764062
0.0808080808080808,0.000794651140939462,0.0146001794744567,0.0289680777257728,0.0394852219396256,0.0470058043277427,0.0540948779685964,0.0608677233377564,0.0688707863379234,0.0752912351090915,0.0819881261624752,0.0899812458967609
0.0909090909090909,0.00084383910593575,0.0158933244232587,0.0317617403984103,0.043442976384384,0.0518210005037054,0.0597343530748257,0.0673075500368606,0.0762708295712557,0.083471929109222,0.0909920689929366,0.0999789008461048
0.101010101010101,0.000890705688434474,0.0171584604737499,0.0345159940672859,0.0473593277293602,0.056596026177179,0.06533661225152,0.0737144707245209,0.0836447898385594,0.091633278837895,0.0999848240361079,0.109976527854622
0.111111111111111,0.000935545133510019,0.0183984429461619,0.0372345663004618,0.0512380450334763,0.0613344551956045,0.0709049032000236,0.0800913091702673,0.090994865053879,0.0997768924592766,0.108967309120032,0.119974129180708
0.121212121212121,0.000978593755012575,0.019615626623806,0.0399205540953266,0.0550822707062624,0.0660392731698491,0.0764419434808408,0.0864404314560483,0.0983228995568925,0.107904120854965,0.117940296012242,0.129971706725465
0.131313131313131,0.00102004483724927,0.0208119850180141,0.0425765708003487,0.0588946649648955,0.0707130122438553,0.0819500413632608,0.0927638498645076,0.105630464006983,0.116016115568944,0.126904443211447,0.139969262112639
0.141414141414141,0.00106005892572295,0.0219891947379721,0.045204850729137,0.0626775090051745,0.0753578475128363,0.0874311824055265,0.099063297395204,0.112918912759966,0.124113870458548,0.135860319538448,0.149966796746178
0.151515151515152,0.00109877114345734,0.0231486968235015,0.0478073256700271,0.0664327806677465,0.0799756678500119,0.0928870931371687,0.105340282633427,0.120189426165008,0.132198252424168,0.14480842155514,0.159964311852777
0.161616161616162,0.00113629652317234,0.0242917423780274,0.0503856821318745,0.0701622112012485,0.0845681291185118,0.0983192889611884,0.111596131064891,0.127443042447171,0.140270024590618,0.153749186714516,0.169961808514012
0.171717171717172,0.00117273397738582,0.025419427207181,0.0529414050270523,0.0738673286834102,0.0891366949328794,0.10372911088981,0.117832016789924,0.134680682205841,0.148329864132576,0.162683003479481,0.179959287691095
0.181818181818182,0.00120816930998876,0.0265327185748629,0.0554758115813463,0.0775494918056137,0.0936826684160638,0.109117754195625,0.124048987280452,0.141903167557031,0.156378376212361,0.171610219239988,0.18995675024425
0.191919191919192,0.00124267753848394,0.0276324761903334,0.05799007805722,0.0812099165555974,0.098207217312016,0.114486291091054,0.13024798299368,0.149111237312422,0.164416105039185,0.180531146598973,0.199954196948111
0.202020202020202,0.00127632471090081,0.0287194688958478,0.0604852610969968,0.0848496975724361,0.102711394107818,0.1198356889183,0.136429853115868,0.156305559173862,0.172443542759369,0.189446068428417,0.209951628504113
0.212121212121212,0.00130916934592276,0.0297943880979169,0.0629623149738221,0.0884698254410899,0.107196152348122,0.125166824910688,0.142595368348433,0.163486739644986,0.180461136686507,0.198355241983617,0.219949045550584
0.222222222222222,0.00134126358775858,0.030857858696344,0.0654221056853675,0.0920712008483044,0.111662360003145,0.130480498298597,0.148745231401661,0.170655332172102,0.188469295243262,0.207258902286128,0.229946448671045
0.232323232323232,0.00137265414207386,0.0319104480653873,0.0678654225802224,0.0956546462813194,0.116110810527574,0.135777440332643,0.154880085689169,0.177811843894238,0.196468392890668,0.216157264931689,0.239943838401103
0.242424242424242,0.00140338304178385,0.0329526735006365,0.0702929880336554,0.0992209157805988,0.120542232088985,0.141058322654493,0.16100052259394,0.1849567412882,0.204458774252628,0.225050528440854,0.24994121523423
0.252525252525253,0.00143348827913064,0.0339850084443765,0.0727054655648808,0.10277070313521,0.124957295329968,0.146323764343049,0.167107087588506,0.192090454926668,0.212440757594065,0.233938876242197,0.259938579626633
0.262626262626263,0.00146300433158191,0.0350078877289018,0.0751034666970813,0.106304648819885,0.129356619944418,0.151574337888583,0.173200285427213,0.199213383517525,0.220414637775072,0.242822478357506,0.269935932001399
0.272727272727273,0.00149196260261597,0.0360217120231864,0.0774875567942077,0.109823345906422,0.133740780286417,0.156810574291661,0.179280584580489,0.206325897355677,0.228380688776538,0.251701492843154,0.279933272752042
0.282828282828283,0.00152039179368272,0.0370268516279607,0.0798582600582134,0.113327345132272,0.138110310183504,0.162032967441809,0.18534842104493,0.213428341290813,0.23633916587256,0.260576067030418,0.289930602245556
0.292929292929293,0.00154831822006326,0.0380236497337542,0.0822160638322261,0.116817159271403,0.142465707090745,0.16724197789899,0.19140420163561,0.220521037293351,0.244290307509529,0.269446338598769,0.29992792082506
0.303030303030303,0.00157576608065683,0.0390124252331899,0.0845614223259336,0.120293266923508,0.146807435694853,0.172438036176586,0.197448306845917,0.227604286684614,0.252234336939998,0.278312436509464,0.309925228812091
0.313131313131313,0.00160275768966864,0.0399934751608591,0.0868947598568636,0.123756115815241,0.151135931056573,0.177621545605543,0.203481093343856,0.234678372084579,0.260171463650216,0.287174481821557,0.319922526508625
0.323232323232323,0.00162931367658803,0.0409670768201399,0.0892164736835949,0.127206125689577,0.155451601363042,0.182792884844566,0.209502896160971,0.241743559120715,0.268101884613044,0.296032588408357,0.329919814198835
0.333333333333333,0.00165545315961574,0.0419334896453492,0.0915269364930586,0.130643690845599,0.159754830348915,0.187952410089491,0.215514030619903,0.248800097933561,0.276025785392263,0.304886863589141,0.339917092150654
0.343434343434343,0.00168119389673385,0.0428929568389434,0.0938264985930678,0.134069182380049,0.164045979434657,0.193100457025694,0.221514794038582,0.255848224508515,0.283943341119761,0.31373740868834,0.349914360617153
0.353535353535354,0.00170655241785018,0.0438457068165607,0.0961154898524142,0.137482950173145,0.168325389622201,0.198237342559899,0.227505467242564,0.262888161858274,0.291854717363458,0.322584319532373,0.359911619837767
0.363636363636364,0.00173154414084186,0.0447919544871436,0.0983942214237832,0.140885324654158,0.17259338318146,0.203363366361758,0.233486315911872,0.269920121076384,0.299760070900885,0.331427686892627,0.369908870039393
0.373737373737374,0.00175618347383738,0.0457319023908893,0.100662987278993,0.144276618376434,0.176850265155797,0.208478812240667,0.239457591784414,0.27694430227904,0.307659550410946,0.3402675968817,0.379906111437362
0.383838383838384,0.00178048390568417,0.0466657417141243,0.102922065581397,0.147657127426903,0.181096324710143,0.213583949379309,0.24541953373464,0.283960895449631,0.315553297094454,0.349104131308975,0.389903344236322
0.393939393939394,0.00180445808623103,0.0475936531972139,0.105171719916426,0.151027132691264,0.185331836341817,0.218679033442116,0.251372368743237,0.290970081198311,0.323441445232406,0.357937368000606,0.399900568631031
0.404040404040404,0.00182811789779528,0.0485158079491563,0.107412200398131,0.154386900992852,0.189557060971104,0.223764307574152,0.257316312771314,0.297972031447055,0.331324122689656,0.366767381088294,0.409897784807066
0.414141414141414,0.00185147451897158,0.0494323681804851,0.109643744666896,0.157736686120564,0.193772246926182,0.228840003303645,0.263251571550594,0.304966910049159,0.339201451370516,0.375594241270592,0.41989499294147
0.424242424242424,0.00187453848176389,0.0503434878644098,0.11186657879139,0.16107672975904,0.197977630834895,0.233906341359551,0.26917834129949,0.311954873350858,0.347073547631933,0.384418016049928,0.429892193203344
0.434343434343434,0.00189731972287652,0.0512493133347194,0.114080918085929,0.16440726233244,0.202173438434145,0.238963532413919,0.275096809373568,0.3189360707017,0.35494052265906,0.39323876994813,0.439889385754374
0.444444444444444,0.00191982762987926,0.0521499838277874,0.116286967852931,0.167728503771616,0.206359885306212,0.244011777757543,0.281007154857778,0.325910644919413,0.362802482807445,0.40205656470284,0.44988657074932
0.454545454545455,0.00194207108286001,0.0530456319750258,0.118484924058832,0.171040664213196,0.210537177550066,0.249051269916233,0.286909549106841,0.332878732714233,0.37065952991547,0.410871459446909,0.459883748336463
0.464646464646465,0.00196405849209351,0.0539363842512889,0.120674973950739,0.174343944637948,0.214705512394712,0.254082193214102,0.292804156239347,0.339840465077052,0.378511761590219,0.419683510872568,0.469880918658006
0.474747474747475,0.00198579783218295,0.0548223613840162,0.122857296620159,0.177638537454887,0.218865078760682,0.259104724289464,0.298691133590448,0.34679596763515,0.386359271469555,0.428492773381985,0.479878081850451
0.484848484848485,0.0020072966730705,0.0557036787272947,0.125032063519362,0.180924627036769,0.223016057775059,0.264119032568216,0.304570632127394,0.353745360978861,0.394202149462842,0.437299299225585,0.489875238044939
0.494949494949495,0.00202856220826126,0.0565804466044973,0.12719943893522,0.184202390211921,0.227158623244742,0.269125280699024,0.310442796831662,0.360688760962086,0.402040481972449,0.446103138629359,0.499872387367572
0.505050505050505,0.00204960128056122,0.0574527706227098,0.129359580424825,0.187471996716768,0.231292942092097,0.274123624954073,0.316307767050972,0.367626278979214,0.409874352097921,0.454904339912241,0.509869529939695
0.515151515151515,0.00207042040559195,0.0583207519617751,0.131512639216636,0.190733609612906,0.235419174756681,0.279114215598754,0.322165676824116,0.374558022220753,0.417703839824504,0.463702949594511,0.519866665878172
0.525252525252525,0.00209102579331293,0.0591844876404477,0.133658760580505,0.19398738567213,0.239537475566254,0.284097197233221,0.32801665518118,0.38148409390967,0.425529022197475,0.472499012498074,0.529863795295632
0.535353535353535,0.00211142336775406,0.0600440707618674,0.135798084169519,0.197233475732426,0.243647993079991,0.289072709108467,0.333860826421444,0.388404593520233,0.433349973483616,0.481292571839345,0.5398609183007
0.545454545454546,0.00213161878513747,0.0608995907403105,0.137930744336314,0.200472025027624,0.247750870406424,0.294040885419246,0.339698310371011,0.395319616980961,0.441166765320991,0.490083669315444,0.54985803499821
0.555555555555556,0.00215161745054647,0.0617511335109578,0.140056870426156,0.203703173493093,0.251846245498429,0.299001855575928,0.345529222621981,0.40222925686309,0.448979466858069,0.498872345184263,0.559855145489404
0.565656565656566,0.0021714245332819,0.062598781724232,0.14217658704892,0.206927056049627,0.255934251427263,0.303955744457158,0.351353674754804,0.409133602555847,0.456788144883134,0.507658638338971,0.569852249872122
0.575757575757576,0.00219104498103007,0.0634426149260859,0.144290014331788,0.210143802867412,0.260015016637512,0.30890267264498,0.357171774545252,0.416032740429645,0.464592863944814,0.516442586377415,0.579849348240966
0.585858585858586,0.00221048353295299,0.0642827097254843,0.146397268154382,0.213353539611817,0.264088665184556,0.313842756643919,0.362983626157351,0.422926753988254,0.472393686464481,0.525224225666855,0.589846440687467
0.595959595959596,0.00222974473179963,0.0651191399501858,0.148498460367786,0.216556387672527,0.268155316956048,0.318776109085389,0.368789330323408,0.429815724010844,0.480190672841204,0.534003591404419,0.599843527300231
0.606060606060606,0.00224883293512619,0.0659519767918253,0.150593698998849,0.219752464377405,0.272215087878718,0.323702838918613,0.374588984512237,0.436699728684748,0.487983881549857,0.54278071767364,0.609840608165085
0.616161616161616,0.00226775232570442,0.066781288941191,0.152683088440955,0.222941883192353,0.276268090111706,0.328623051589165,0.380382683086505,0.44357884372968,0.495773369232939,0.551555637497364,0.619837683365203
0.626262626262626,0.00228650692118879,0.0676071427145096,0.154766729632376,0.226124753908271,0.280314432227496,0.333536849206126,0.386170517450092,0.450453142514098,0.503559190786606,0.560328382887341,0.629834752981235
0.636363636363636,0.00230510058310592,0.068429602171464,0.156844720223183,0.229301182816165,0.284354219381441,0.338444330698737,0.391952576186216,0.457322696164316,0.511341399441348,0.569098984890739,0.639831817091415
0.646464646464647,0.00232353702522369,0.0692487292256112,0.15891715473164,0.232471272871309,0.288387553470755,0.343345591963373,0.397728945187083,0.464187573666935,0.519120046837759,0.577867473633836,0.649828875771679
0.656565656565657,0.00234181982135159,0.070064583747793,0.160984124690869,0.235635123847309,0.292414533283782,0.348240726001571,0.403499707775649,0.471047841965085,0.526895183097725,0.586633878363079,0.659825929095758
0.666666666666667,0.00235995241261876,0.0708772236630855,0.163045718786545,0.238792832480841,0.296435254640279,0.353129823049783,0.409264944820136,0.477903566048946,0.534666856891409,0.595398227483719,0.669822977135281
0.676767676767677,0.00237793811427213,0.0716867050417815,0.16510202298629,0.241944492607742,0.300449810523371,0.358012970701469,0.415024734841796,0.484754809040978,0.542435115500321,0.604160548596209,0.679820019959864
0.686868686868687,0.00239578012203258,0.0724930821848535,0.16715312066138,0.245090195291106,0.304458291203798,0.362890254022089,0.420779154116446,0.491601632276219,0.550200004876763,0.612920868530501,0.689817057637193
0.696969696969697,0.00241348151804397,0.073296407704307,0.169199092701331,0.24823002894195,0.308460784356994,0.367761755657495,0.426528276770195,0.498444095378035,0.557961569699899,0.621679213378413,0.699814090233108
0.707070707070707,0.00243104527644637,0.0740967325987983,0.171240017621864,0.251364079432992,0.312457375173524,0.372627555936202,0.432272174869783,0.505282256329604,0.565719853428696,0.630435608524188,0.709811117811674
0.717171717171717,0.00244847426860218,0.0748941063248585,0.173275971666733,0.254492430206018,0.316448146463341,0.377487732965961,0.438010918507915,0.512116171541472,0.573474898351957,0.639190078673386,0.719808140435261
0.727272727272727,0.00246577126800125,0.0756885768640354,0.175307028903842,0.257615162373284,0.320433178754271,0.382342362725017,0.443744575883913,0.518945895915413,0.581226745635618,0.647942647880194,0.729805158164603
0.737373737373737,0.00248293895486881,0.0764801907862393,0.177333261316029,0.260732354813367,0.324412550385153,0.387191519148432,0.449473213380024,0.525771482904861,0.588975435367534,0.656693339573295,0.739802171058872
0.747474747474748,0.00249997992049782,0.077268993309557,0.179354738886912,0.263844084261828,0.328386337593958,0.392035274209783,0.455196895633661,0.532592984572137,0.596721006599873,0.665442176580362,0.749799179175728
0.757575757575758,0.00251689667132585,0.0780550283567738,0.18137152968209,0.266950425397047,0.332354614601249,0.396873697998555,0.460915685605849,0.539410451642689,0.604463497389328,0.674189181151285,0.759796182571389
0.767676767676768,0.00253369163277447,0.0788383386088247,0.183383699926043,0.270051450921538,0.336317453689262,0.401706858793502,0.466629644646119,0.546223933556522,0.612202944835231,0.682934374980201,0.769793181300675
0.777777777777778,0.00255036715286804,0.079618965555382,0.185391314074984,0.273147231639038,0.34027492527692,0.40653482313224,0.472338832554087,0.553033478517017,0.619939385115751,0.691677779226417,0.779790175417067
0.787878787878788,0.00256692550564705,0.0803969495427636,0.187394434885944,0.276237836527645,0.344227097991007,0.411357655877309,0.47804330763792,0.559839133537289,0.627672853522276,0.700419414534283,0.789787164972757
0.797979797979798,0.00258336889439021,0.081172329819338,0.189393123482317,0.279323332809252,0.348174038733763,0.416175420278922,0.483743126769879,0.56664094448424,0.635403384492075,0.709159301052074,0.799784150018687
0.808080808080808,0.00259969945465825,0.0819451445785867,0.191387439416098,0.282403786015507,0.35211581274713,0.420988178034621,0.48943834543914,0.573438956120463,0.643131011639394,0.717897458449976,0.809781130604607
0.818181818181818,0.00261591925717122,0.0827154309999695,0.193377440727014,0.285479260050517,0.356052483673827,0.425795989346001,0.495129017802028,0.580233212144101,0.650855767785015,0.726633905937178,0.819778106779103
0.828282828282828,0.00263203031053044,0.0834832252877337,0.195363183998734,0.288549817250496,0.359984113615476,0.430598912972716,0.500815196729853,0.587023755226815,0.65857768498444,0.735368662278177,0.829775078589653
0.838383838383838,0.00264803456379518,0.0842485627077905,0.197344724412351,0.291615518440526,0.363910763187935,0.435397006283896,0.506496933854461,0.593810627049943,0.666296794554718,0.744101745808298,0.83977204608265
0.848484848484849,0.00266393390892345,0.0850114776227787,0.199322115797286,0.294676422988629,0.367832491574018,0.440190325307143,0.512174279611657,0.600593868338977,0.674013127100043,0.752833174448501,0.849769009303451
0.858585858585859,0.00267973018308551,0.0857720035254257,0.201295410679766,0.297732588857288,0.371749356573743,0.444978924775259,0.517847283282617,0.607373518896454,0.681726712536166,0.761562965719518,0.85976596829641
0.868686868686869,0.00269542517085824,0.0865301730703033,0.203264660329029,0.300784072652562,0.375661414652252,0.449762858170801,0.523515993033387,0.614149617633331,0.689437580113693,0.770291136755327,0.869762923104904
0.878787878787879,0.00271102060630771,0.0872860181040782,0.20522991480138,0.303830929670958,0.379568720985557,0.454542177768632,0.529180455952612,0.620922202598961,0.69714575844035,0.779017704316047,0.879759873771377
0.888888888888889,0.0027265181749668,0.0880395696943406,0.207191222982223,0.306873213944159,0.383471329504198,0.459316934676541,0.534840718087561,0.627691311009725,0.704851275502238,0.787742684800242,0.889756820337358
0.898989898989899,0.00274191951571442,0.0887908581570951,0.209148632626179,0.309910978281747,0.387369292934961,0.464087178874068,0.540496824478567,0.634456979276403,0.712554158684178,0.796466094256704,0.899753762843506
0.909090909090909,0.00275722622256208,0.0895399130829894,0.211102190395409,0.312944274312026,0.391262662840754,0.468852959249614,0.546148819191948,0.64121924303035,0.720254434789147,0.805187948395704,0.909750701329623
0.919191919191919,0.00277243984635341,0.0902867633623512,0.213051941896227,0.315973152521042,0.395151489658731,0.473614323635943,0.551796745351511,0.647978137148544,0.727952130056899,0.813908262599782,0.919747635834688
0.929292929292929,0.00278756189638182,0.0910314372091014,0.214997931714107,0.31899766228992,0.399035822736776,0.478371318844152,0.557440645168705,0.654733695777571,0.735647270181784,0.822627051934068,0.929744566396883
0.939393939393939,0.00280259384193097,0.0917739621836038,0.216940203447167,0.322017851930581,0.402915710368424,0.483123990696195,0.563080559971493,0.661485952356594,0.743339880329821,0.831344331156175,0.939741493053619
0.94949494949495,0.00281753711374256,0.0925143652145102,0.218878799738212,0.325033768719943,0.406791199826298,0.487872384056042,0.568716530232013,0.668234939639356,0.751029985155059,0.840060114725674,0.949738415841554
0.95959595959596,0.00283239310541558,0.0932526726196554,0.220813762305411,0.328045458932686,0.410662337394156,0.492616542859538,0.574348595593098,0.674980689715288,0.758717608815267,0.848774416813193,0.959735334796621
0.96969696969697,0.00284716317474093,0.0939889101260517,0.222745131971686,0.331052967872638,0.414529168397604,0.497356510143024,0.579976794893695,0.681723234029746,0.76640277498698,0.857487251309138,0.969732249954047
0.97979797979798,0.00286184864497494,0.0947231028890323,0.224672948692871,0.334056339902882,0.418391737233551,0.502092328070806,0.585601166193271,0.688462603403435,0.774085506879948,0.866198631832064,0.97972916134838
0.98989898989899,0.00287645080605525,0.0954552755105851,0.226597251584709,0.33705561847462,0.422250087398463,0.506824037961491,0.591221746795209,0.695198828051042,0.781765827250996,0.874908571736713,0.989726069013498
1,0.0028909709157622,0.0961854520569235,0.228518078948747,0.340050846154877,0.426104261515493,0.511551680313297,0.596838573269304,0.701931937599149,0.789443758417346,0.88361708412174,0.999722972982637
